"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"192","Scl","0192",1,113,0,"00 : 59 : 54.85","-33 : 36 : 52.6",-0.736863465781573,0.261424869230492
"193","Scl","0193",0.998,92,0,"00 : 59 : 58.78","-33 : 37 : 16.8",-0.738623339444,0.261710666895506
"194","Scl","0194",1,108,0,"00 : 59 : 55.99","-33 : 38 : 03.1",-0.741990370459306,0.261507772369962
"195","Scl","0195",1,122,0,"00 : 59 : 58.30","-33 : 38 : 42.1",-0.744826530493797,0.261675760310467
"196","Scl","0196",1,107,0,"01 : 00 : 03.65","-33 : 36 : 48.4",-0.736558033162474,0.262064823289557
"197","Scl","0197",1,107,0,"01 : 00 : 06.58","-33 : 37 : 41.1",-0.740390485311645,0.262277898902404
"198","Scl","0198",1,111.8,1,"01 : 00 : 08.66","-33 : 38 : 27.3",-0.743750244121734,0.262429160770911
"199","Scl","0199",1,104.5,0.8,"01 : 00 : 09.69","-33 : 39 : 03.3",-0.746368237999725,0.262504064484642
"200","Scl","0200",1,114,0,"00 : 59 : 59.20","-33 : 40 : 06.5",-0.750964271696644,0.261741210157416
"201","Scl","0201",0,105,0,"00 : 59 : 59.33","-33 : 44 : 24.3",-0.769712016745149,0.261750664024198
"202","Scl","0202",0.996,98,0,"01 : 00 : 01.19","-33 : 43 : 33.4",-0.766010464289878,0.261885927041227
"203","Scl","0203",0.999,121,0,"00 : 59 : 59.34","-33 : 43 : 18.2",-0.764905089096948,0.26175139124472
"204","Scl","0204",0.337,109,0,"00 : 59 : 59.35","-33 : 42 : 55.1",-0.763225209691904,0.261752118465241
"205","Scl","0205",0.999,120,0,"00 : 59 : 59.70","-33 : 42 : 36.9",-0.761901668342475,0.2617775711835
"206","Scl","0206",0.999,118,0,"01 : 00 : 00.93","-33 : 42 : 05.2",-0.759596379288799,0.261867019307664
"207","Scl","0207",0.999,109,0,"01 : 00 : 01.62","-33 : 41 : 47.0",-0.75827283793937,0.261917197523659
"208","Scl","0208",0.999,106,0,"00 : 59 : 58.34","-33 : 40 : 57.7",-0.754687640767565,0.261678669192553
"209","Scl","0209",0,107,0,"00 : 59 : 54.19","-33 : 44 : 29.1",-0.770061082595548,0.261376872676063
"210","Scl","0210",0.999,115,0,"00 : 59 : 58.04","-33 : 44 : 03.0",-0.768163037034004,0.261656852576903
"211","Scl","0211",0.999,110,0,"00 : 59 : 56.64","-33 : 44 : 00.7",-0.767995776314021,0.26155504170387
"212","Scl","0212",1,97,0,"00 : 59 : 54.48","-33 : 43 : 48.9",-0.767137656098458,0.261397962071191
"213","Scl","0213",0.994,95,0,"00 : 59 : 58.86","-33 : 43 : 41.1",-0.76657042409156,0.26171648465968
"214","Scl","0214",1,101.3,1.5,"00 : 59 : 52.56","-33 : 39 : 45.2",-0.749415291985498,0.261258335731031
"215","Scl","0215",1,121.9,1.1,"00 : 58 : 58.88","-33 : 39 : 02.6",-0.746317332563209,0.257354615970737
"216","Scl","0216",1,112.4,0.4,"00 : 59 : 15.15","-33 : 42 : 54.8",-0.763203393076254,0.258537803759485
"217","Scl","0217",1,107.5,0.6,"00 : 59 : 10.13","-33 : 40 : 18.5",-0.751836936322641,0.25817273905761
"218","Scl","0218",0.999,97.8,0.9,"00 : 59 : 04.05","-33 : 40 : 31.5",-0.752782323000804,0.257730588980438
"219","Scl","0219",1,113.6,0.6,"00 : 59 : 32.53","-33 : 45 : 35.1",-0.774860738038533,0.259801713026138
"220","Scl","0220",0.999,114.6,0.6,"00 : 59 : 52.39","-33 : 41 : 28.1",-0.756898391153424,0.261245972982163
"221","Scl","0221",0.005,113.8,0.4,"01 : 00 : 01.47","-33 : 39 : 49.7",-0.749742541220247,0.261906289215834
"222","Scl","0222",1,114,0,"00 : 59 : 12.58","-33 : 36 : 53.2",-0.736907099012873,0.258350908085417
"223","Scl","0223",1,107,0,"00 : 59 : 11.34","-33 : 37 : 28.2",-0.739452370838698,0.258260732740731
"224","Scl","0224",1,116,0,"00 : 59 : 11.53","-33 : 38 : 03.4",-0.742012187074956,0.258274549930643
"225","Scl","0225",1,123,0,"00 : 59 : 00.13","-33 : 38 : 51.0",-0.745473756758078,0.257445518535945
"226","Scl","0226",0.999,91,0,"00 : 59 : 24.37","-33 : 45 : 28.8",-0.774402589109884,0.25920830108046
